Date,Open,High,Low,Close
09-03-2012, 219.00 , 224.30 , 218.81 , 222.64 
12-03-2012, 230.54 , 232.46 , 228.10 , 231.08 
13-03-2012, 234.13 , 235.00 , 231.65 , 232.75 
14-03-2012, 237.04 , 237.44 , 233.22 , 235.48 
15-03-2012, 235.80 , 236.80 , 228.60 , 229.93 
16-03-2012, 230.00 , 235.49 , 221.50 , 222.79 
19-03-2012, 223.00 , 223.70 , 215.00 , 215.76 
20-03-2012, 216.00 , 220.29 , 213.81 , 218.74 
21-03-2012, 218.39 , 223.90 , 217.63 , 223.29 
22-03-2012, 222.70 , 225.56 , 215.01 , 216.06 
23-03-2012, 217.60 , 220.48 , 212.72 , 216.68 
26-03-2012, 215.87 , 215.90 , 211.00 , 211.74 
27-03-2012, 215.50 , 217.19 , 209.77 , 212.91 
28-03-2012, 212.00 , 212.14 , 206.35 , 207.93 
29-03-2012, 205.00 , 207.99 , 204.71 , 206.13 
30-03-2012, 206.77 , 210.99 , 206.77 , 209.63 
02-04-2012, 210.00 , 213.90 , 210.00 , 213.04 
03-04-2012, 214.20 , 218.32 , 214.19 , 217.26 
04-04-2012, 215.00 , 217.90 , 213.66 , 216.26 
09-04-2012, 214.80 , 214.89 , 209.01 , 210.04 
10-04-2012, 211.00 , 215.70 , 209.51 , 215.12 
11-04-2012, 212.51 , 217.95 , 211.71 , 215.85 
12-04-2012, 217.51 , 223.40 , 217.51 , 222.76 
13-04-2012, 225.00 , 228.36 , 219.53 , 221.23 
16-04-2012, 221.20 , 227.29 , 220.10 , 226.51 
17-04-2012, 229.70 , 234.97 , 222.11 , 230.43 
18-04-2012, 232.30 , 233.98 , 227.52 , 229.18 
19-04-2012, 229.70 , 229.88 , 225.41 , 226.90 
20-04-2012, 226.50 , 228.74 , 223.82 , 226.04 
23-04-2012, 226.50 , 227.95 , 218.20 , 219.32 
24-04-2012, 219.51 , 221.56 , 217.51 , 219.07 
25-04-2012, 218.92 , 220.70 , 213.07 , 217.18 
26-04-2012, 218.80 , 218.80 , 213.70 , 216.24 
27-04-2012, 215.20 , 216.87 , 210.10 , 212.55 
30-04-2012, 213.10 , 216.99 , 212.70 , 213.81 
02-05-2012, 214.50 , 216.89 , 212.54 , 214.06 
03-05-2012, 212.10 , 212.78 , 207.55 , 208.41 
04-05-2012, 206.73 , 206.90 , 198.60 , 199.63 
07-05-2012, 194.60 , 204.00 , 187.60 , 202.82 
08-05-2012, 203.60 , 204.89 , 192.29 , 195.54 
09-05-2012, 193.60 , 195.50 , 187.60 , 188.31 
10-05-2012, 189.00 , 193.27 , 183.23 , 184.32 
11-05-2012, 183.90 , 188.48 , 182.10 , 185.36 
14-05-2012, 186.10 , 189.56 , 181.35 , 183.98 
15-05-2012, 182.60 , 187.17 , 182.50 , 186.04 
16-05-2012, 183.40 , 184.48 , 180.23 , 182.77 
17-05-2012, 183.52 , 186.20 , 182.26 , 184.84 
18-05-2012, 182.01 , 195.70 , 182.01 , 194.05 
21-05-2012, 196.00 , 203.00 , 196.00 , 200.95 
22-05-2012, 203.50 , 204.00 , 193.11 , 193.88 
23-05-2012, 193.32 , 197.39 , 192.05 , 195.50 
24-05-2012, 195.80 , 197.40 , 192.54 , 196.62 
25-05-2012, 196.24 , 201.80 , 195.43 , 200.69 
28-05-2012, 201.90 , 210.70 , 201.70 , 210.13 
29-05-2012, 211.50 , 214.99 , 210.47 , 212.01 
30-05-2012, 210.15 , 211.80 , 208.20 , 209.82 
31-05-2012, 208.00 , 208.90 , 203.75 , 205.60 
01-06-2012, 205.99 , 208.05 , 201.70 , 202.82 
04-06-2012, 199.22 , 205.40 , 197.40 , 204.59 
05-06-2012, 206.40 , 211.00 , 206.10 , 208.27 
06-06-2012, 210.00 , 216.80 , 209.60 , 215.82 
07-06-2012, 218.30 , 218.90 , 215.65 , 216.79 
08-06-2012, 215.15 , 219.16 , 213.15 , 217.95 
11-06-2012, 220.00 , 221.79 , 215.55 , 216.48 
12-06-2012, 215.50 , 221.18 , 213.26 , 220.62 
13-06-2012, 221.00 , 224.40 , 218.60 , 222.60 
